,id,text_n,is_sarcastic
35,93,"22 ноября 2024 года в доме пропал интернет и интерактивное телевидение от Ростелекома. Сегодня 29 декабря 2024 года скоро Новый год, но услуги по предоставлению интернета и интерактивного телевидения так и не предоставляют, больше месяца ссылаются на устранение аварийной ситуации и кормят завтраками. Вот так Ростелеком поздравляет своих клиентов с Новым годом! Наверно придется искать другого провайдера.",1
40,575,"3 недели пытаюсь получить груз. Есть жалобы, ежедневные звонки в горячую люинию по несколько раз в день, но результата ноль. Стоит дата доставки, но каждый раз ответ: ""ждите звонка"" и так 3 недели, хотя у меня там ценный груз, документы и т.д. Сегодня (О ЧУДО!!!!) сказали, что груз наконец закреплен за курьером, дали его телефон....Я обрадовался, но после позвонил курьеру,... ",1
41,159,"30.06.22 года в доме пропало соединение с интернетом, связались с вашим провайдером, на что получили ответ :- "" Специалист приедет 5.07.22""!!! - ОСЧАСТЛИВИЛИ!!! Я с тремя детьми буду сидеть 5 дней без ТВ!????? РЕБЯТА ВЫ СЕРЬЁЗНО?) 21 век на дворе и вы не единственная компания которая оказывает аналогичные услуги)))",1
45,379,"5 лет не пользовался услугами МТС а тут решил вернуться снова. До этого был номер я от него отказался, написав заявление о расторжении договора. Но вот произошло ""ЧУДО"". Спустя 3 года всплыл старый номер не смотря на то, что я его закрывал в салоне. И как оказалось еще кто-то трындел по нему немало.И теперь требуют оплатить счет за того парня!... ",1
47,1427,"6755328031
от 26.12.2019 23:19

Мало того, что прислали не ту футболку (естественно - отказ), да еще и 200 рублей за доставку содрали. Почему я должен платить за доставку не того товара, который я заказывал, и к тому-же снизили процент выкупа за ИХ ошибку! Неплохой способ заработать: и с товаром не расстались, и деньги за доставку получили! Одной звезды... ",1
49,33,"7.08.23г.выехали с Санкт-Петербурга в Пензу поездом 047 в 14 вагоне. Купили билеты с кондиционером... Когда заходили через соседний вагон нас это немного смутило, но... оказалось это мелочи. Эту поездку мы запомним на долго!!! Кондиционер НЕ РАБОТАЛ(на улице было 30 градусов) всё пассажиры умирали от жары, туалет НЕ РАБОТАЛ -не было воды(потом, спустя какое-то время сделали), воды в кране в туалете... ",1
57,287,"А нас около 40 мин. назад водитель Яндекс таки высадил из машины с ребенком, потому что мы ему не понравились.
Круто!!!
А оказывается такое бывает!!!
Теперь я понимаю безответственность этой организации - перевозчика, ... Вы вызываете Яндекс-такси, они Вас посреди дороги высаживают и ВЁЁЁЁЁ... никто ни за что не отвечает, круто....",1
59,1895,"А по-моему, в этом сезоне пазл сложился! Всё одно к одному - и наставники - неумелые, и конкурсанты - посредственные, и репертуар - неинтересный, и ведущая - скучная... Вот только прекрасный Сергей Сергеич и его талантливые музыканты нарушают эту ""гармонию"". Эх!",1
61,2005,"А ты раб России радуйся. Барин сделал царственное снисхождение всё стерпящим женщинам - холопкам, несущим на своих хрупких плечах заботу о своих семьях, детях.
И с каким лицемерием об этом сообщают, что, якобы, проявляет о народе заботу и сострадание. Не повысит возраст выхода на пенсию, а заметьте, ПЫТАЕТСЯ, всеми силами, СНИЗИТЬ Пенсионный возраст, аж на 3 года, до 60 лет, вместо... ",1
64,649,"Авито пробивало дно не один раз в этой жизни и продолжает это делать. Теперь они продают доступ к контактам в объявлении продавца, это супер круто! Цинизм зашкаливает. Это повод для обращения в прокуратуру",1
66,639,"Авито, как оказалось, самая беспонтовая площадка, где можно ""приобрести"" товар. В городах еще нет официальных пунктов выдачи, а через иные доставки примерить покупку невозможно.
Т.е. организаторы авито считают, что шубу или сапоги возможно выкупить без примерки, ориентируясь исключительно на размерную сетку?
это очень ""оригинально"")",1
77,979,"Безумно не понравилось обслуживание в г Кирово-Чепецк по ул Мира 70. в салоне ""Мегафон"" . Сегодня 09,02,2018 г пришла оформить сим карту для интернета . Сидят три девушки - консультанта. Одна девушка-консультант была занята с клиентом ,а остальные 2 девушки-консультанты очень мило между собой переговаривались и смеялись . Я постояла подождала пока на меня обратят внимание , но... ",1
80,498,"Биатлон наш уже не смотрим, помоечник губер достал. Говорящее ведро. Так теперь и лыжную эстафету испоганил. Невозможно смотреть, только без звука. Пускай сборную по гребле поднимает.",1
83,1853,"Благодаря сотрудникам обеспечивающим «как на первый взгляд может привидеться» порядок и атмосферу - прогнившая насквозь!
Простите за грубость - сами жрут бургеры на зрительских местах в перерыве прямого эфира 18.12.2020
Курят на глазах у зрителей, да, прямо в студии Мосфильма и относятся к приглашённым зрителям, как к тле/стаду. Сотрудники охраняющие лестницу в жёлтую зону прыгают трибунам с лозунгами «почему плохо работаем» -... ",1
84,2016,"Блестит, ну как святая икона, с утра до ночи на всех каналах, ну так невинно врет. Те же слова уже шесть лет.",1
85,659,"Блокируют буквально все , что связано с недвижимостью ! Призываю всех отказаться от этого сайта ! Я не могу выставить на продажу свою личную квартиру ! Смешно !",1
89,307,"Более 10 лет пользуюсь МТС , в начале все было хорошо . Но что то с каждым годом становятся все хуже и хуже . Подключили опцию какую то ЛИМИТ при которой номер может уходить в минус без моего согласия, списали в минус два раза абонент плату в минус хотя я уже не пользуюсь номером . Типа не хотите пользоваться... ",1
92,888,"Более четырёх часов сижу жлу ответа оператора... А его все нет и нет....... Супер!
Сало того, что сами поменяли тариф, никого Согласие не давала.. Так ещё и не дозвониться.... Прелесть, а не связь! Особенно когда срочно нужен номер телефона....",1
94,457,"Больше криков, больше воплей! Нам не хватает эмоций!! Прекратите колоть буйным успокоительное. Мы имеем право на эмоции!!!",1
107,320,"Был на старом тарифе Смарт 2018, делился интернетом с несколькими номерами, все было отлично. Изредка есть необходимость раздать с номеров немного интернета.Но с начала мая МТС ввела новый побор в 50 руб за это дело, якобы нам так лучше... Цензурных слов нет! Стал изучать тарифы и вроде как нашелся мне подходящий, Мы МТС называется, да на порядок дороже, но по... ",1
109,684,"Был профиль на авито все было хорошо, заблокировали, попросили прислать копию паспорта, прислал, профиль заблокировали навсегда, при том что были предметы в авито доставке, соответственно денежки авито присвоило себе. Отличная тема для заработка.",1
112,668,"Была прекрасная компания, стала полный отстой. Дошли до того что объясняют что нарушение сроков доставки это нормально! Дальше наверное начнут объяснять что брака не существует!",1
115,1989,"Было бы намного интереснее обсуждать проблемы граждан нашей страны, а не только США и Украины. А то создаётся вмечатление, что мы живём в раю, и проблем на самом деле у нас нет, у нас все идеально. У меня племянница не знает как до школы добраться. В новгородской области дорог нет, поэтому школьный автобус с сентября не забирает детей. Добираетесь как... ",1
122,348,"В МТС как обычно, ничего не меняется с качеством работы. Пошёл в офис, написал заявление на расторжение номера, позвонил вечером в колл- центр сказали, да есть ваше заявление. Позвонил на следующий день, нет заявления, идите ещё раз писать заявление. То-же самое 2 недели назад было с 2 симками, пришлось 3 раза ходить. Ну, что за организация суперская, работа выстроена,... ",1
126,518,"В вечернем выпуске Все на Матч, 18.45, показывая выступления фигуристов, самым ярким кадром Мишиной и Галлямова представили их падение! Неужели нельзя было выбрать другой?! Вот так вы любите и поддерживаете наших Чемпионов!",1
127,61,"В виде ""обновления"" заменили старые плацкартные вагоны на новые двухэтажные в стиле ""селедки в бочке"". Все хорошо, если едешь без вещей. Если же вещи с собой есть (странно, но люди почему-то ездят с багажом). То возникают проблемы - в купе места под багаж крайне ограниченно, приходится сдавать в отдельный багажный вагон, что во-первых не удобно, а во-вторых, РЖД экономит на... ",1
132,880,"В деревне Мостовая, Режевского р-на, Свердловской области покрытия мегафон нету вовсе, а реклама гласит об обратном. Интересно получается…. Зачем рекламировать то, чего нету??? Это не трасса, и не Крым))",1
133,376,"В детализации расходов отображаются звонки которых не было...Не знают как сорвать денег с людей, начали уже обманывать. Дно пробито, молодцы. В центр поддержки не дозвониться.",1
139,1063,"В мегафоне работает только списание абонентской платы!
Вот чем наслаждаться я так и не понял. С такой заботой врагов ненадо. Пора уже менять оператора, платить не за что.",1
140,139,"В наступающем году я от всего сердца хочу пожелать компании Ростелеком всего самого плохого, чего только можно пожелать! Желаю ей огромных проблем и неприятностей, таких, какие эта компания приносит людям. Пусть никогда не сбудутся никакие её мечты и не осуществятся никакие планы! Не счастья, не успехов и всего самого плохого! С Новым годом!",1
143,573,"В очередной раз препятствуют выдаче посылки (за перевозку которой клиент оплачивает на месте!!!), по причине якобы накопившейся старой задолженности.
К сожалению, по старой договоренности отправили посылку в Крым через СДЭК, предварительно заручившись заверением, что никаких блокировок по причине задолженности нет. И, разумеется, они эту блокировку поставили сразу, как посылка пришла на пункт выдачи. Молодцы, очень умно, наверное IQ зашкаливает у сотрудников.... ",1
145,1971,"В позднее время устраивается весь этот ""счастливый детский праздник""!!! Остаётся участникам встать только на уши, чтобы удивить и завоевать таким способом внимание жюри и симпатизирующих им, а также склонить тех, кто сомневается в потрясном вечернем зрелище. Живое пение, натуральный звук перекрывают виртуальные картинки, превращая детей в маленьких гномиков, подтанцовывающих, огромного размера нереальностям в разных образах! Жуткая картина этого детского маскарада... ",1
147,907,"В последнее время связь стала просто ужасная, скорость интернета низкая, при этом цены поднимает самостоятельно без уведомлений. Зато в рекламе кричат что самый быстрый интернет пре 5 Джи, мегасилы, все это фуфло. Не рекомендую никому этого оператора.",1
153,591,"В связи с коронавирусом, канцелярии гос. учреждения не принимают документы от физ. лиц, только от курьерских служб доставки или почтой, и вот я решила ускорить доставку документов и отправила ""замечательной компанией СДЭК"", т. к. их офис расположен рядом с моим домом. О ЧЕМ СИЛЬНО ПОЖАЛЕЛА! Отправка была осуществлена 31.03.2020, на приемке, сотрудник СДЭКа мне сказал - 4-5 дней, т. к.... ",1
157,79,"В течении 1,5 часов не могу дозвониться до тех поддержки. Мало того что бы перевели на оператора надо пройти через двух голосовых помощников, так там еще и трубку ни кто не берет. ""Замечательное обслуживание свои абонентов""",1
170,2004,"Ваууууууу!!!!!!! 21 век!!!!))))),а в такой иновационной и передовой стране,как Россия,президент должен вмешиваться в ситуацию с бытовыми отходами,или просто с мусором!!!!! - КРУТО!!!!!,или где до сих пор воду летом отключают!!!!))))))",1
171,1382,"Ввели платный возврат..... Очень супер. Тоесть продавец может спокойно выкладывать размерные сетки от балды, а мы будем платить за возвраты... Пытаются нажиться прям из воздуха. Такое чувство, что машина привозящая товары назад на склад не возвращается, поэтому обратную перевозку осуществляет другая компания??? Заказываешь три вещи одного размера по одинаковым обьемам груди и талии, одна по размеру, две малы. Простите за... ",1
178,551,"Вечерами столько интересных матчей КХЛ а вы шляпу какую то вечно показываете, то сидят каких нибудь три иди.... Ота и обсуждают футбол, очень интересно!!!!!! Нет что б начать менятся и начать нравиться людям, вы где то летаете... Мёртвый канал",1
182,421,"Вместо матча четверть финала, сидят 4 вафлежуя и мусолят прошедший матч! Это фиаско адского уровня, вам бы свои хлеборезки засунуть подальше и включить трансляцию, так после их балабольства еще и несколько рекламных роликов! Это удачный канал с которым невозможно спокойно посмотреть спортивные передачи! Реклама душит нормальные проекты, а не делает бюджет! Очком лучше торгуйте, вас там много, выберите чью то... ",1
184,1007,"Вобщем подключил я себе мегафон, думал будет теперь хороший инет и связь. Но счастье длилось не долго, в начале они повысили стоимость тарифа, после чего я хотел уйти от них, но они попросили остаться и сказали что сделают абонентку дешевле, я согласился и остался в мегафоне. Но потом в январе, видимо они все бабло потратили, они списали 400 рублей. Короче... ",1
186,196,"Водители данного такси не компетентны, маршрутов даже визуально не знают, ссылаются на навигатор, а когда им перезваниваешь начинают говорить что не могут туда подъехать, хотя по всем правилам дорожного движения подъезд есть! За лишнее движение начинают накручивать цену, что это вообще такое? Очень не доволен вашей службой!",1
187,281,"Водитель не пожелал пропустить людей, идущих плотной толпой с электрички, на замечание открыл окно и обматерил несколько раз автора замечания. Замечательный водитель. К такому водителю в машину - ни за что",1
189,1033,"Возмущена появлением Киркорова в рекламе, да ещё с такой ""смешной "" шуткой- "" вошёл не в ту дверь"" ...
Да уж. Быстро вы ""переобуваетесь"".
Давайте и оппу его начните показывать. Ну очень весело всей стране от вашей рекламы. Такое шедевральное остроумие , аж тошнит.",1
191,1811,"Вообще ужасный выбор песен для детей. Уберите его. Даже дополнительный тур сумел провалить этот ""чудо""наставник. Действительно, кардинал в пижаме.",1
203,986,"Вполне довольна скоростью интернета, не считая Ютуба - его просто нет. Но что эти идорасы, по другому никак не назвать воруют трафик и вынуждают брать доп.пакеты это факт. И такие хитрые - один месяц воруют, следующий нет и вот так по кругу. Вроде уже настроишься менять оператора, злость пройдёт а они тебя как нахлобучат на следующий месяц. ОДНИМ СЛОВОМ МЕГАФОН,... ",1
206,1813,"Время 22.34 Шикарная песня и исполнение русской настоящей песни. Что происходит?! Так называемые ""патриоты"" нашего ТВ на Первом канале не услышали настоящий голос и песню??? Гагарина, безголосая и непонятно откуда проявившееся Зиверт, Пресняков с его никчёмными песнями, Беляев.... Вы реально не слышите русские песни с голосом. .. Бред, а не передача.",1
207,1079,"Все было хорошо, пока не потряс смартфон, и о чудо в подарок аж 100 Гб. Но нужно отказаться от остатков старого тарифа, там осталось около гига, отказался. Да вот беда, 100 гигов никто подключать не собирался, а за интернет стал жрать деньги за килобайты. Сначала сожрало 100 руб, пополнил на 100, через несколько часов опять на счету 0. Начал... ",1
210,1900,"Все идет по сценарию, очередная бездарность прошла дальше. Как все взахлеб ей восторгались, как она млела от удовольствия. И только Шнуров в своей жесткой манере расставил все по своим местам, что номер бездарный.",1
214,360,"Все начиналось хорошо , подключил на сьемной квартире в Новокузнецке тв от мтс . Претензий к тв никаких . Все самое веселое началось когда пришлось переехать в г.Белово . Поступил звонок что я должен остался 522р , я сказал что оплачу без проблем и хочу расторгнуть договор .Мне дали телефон горячей линии и сказали что все вопросы туда . Я... ",1
217,1858,"Все ребята молодцы, все талантливы, но ни одного с вокалом который может поразить, удивить. Нет желания голосовать на этом конкурсе, здесь все победители, лучшая тройка Полины, а вот настоящего, соответствующего конкурсу Голос нет. Надо было просто,по американски, устроить конкурс Крик, вот тогда был бы победитель, например Диваева. Кто сидит на отборочных прослушиваниях, там люди разбирающиеся в вокале есть или только... ",1
221,796,"Всегда заказывала в Сбермаркет, никогда не было проблем. И вот Купер! Жду заказ второй день, можно умереть с голоду! Это уже не смешно, время доставки постоянно переносят. Последний раз я связываюсь с этой шарашкиной конторой!",1
233,917,"Всем уже известно, что у мегафона связь и интернет полная шляпа. Сегодня зашёл в ЛК и решил проверить раздел для меня. Вот так мегафон делает предложения😂😂😂!",1
234,212,"Встал в 3 утра, заказал яндекс такси для поездки в Великие Луки, на часах уже 7 утра, а я все жду чуда. Яндекс Такси ау !",1
237,1956,"Всё в том же духе протекает рабочий процесс исполнителей, оценок судей и их нескромное поведение,подыгрывание друг другу и постоянные взоры на Гагарину, что она скажет. Словарный запас звёзд в креслах расширился в последнем выпуске, "" медок, кайфово прибавились к супер, круто и вкусно""! Хвалебные речи Зиверт от коллег, ""украсившей этот проект"", не уместны, если только эту хвалу и поддержку защитать... ",1
244,967,"Второй месяц подряд попадаю на вымогательство и шантаж Мегафона и Видикона. В день оплаты интернета, без предупреждения отключается интернет одновременно с телефонной связью Мегафона. Просто удивительная синхронность. Надеюсь это порадует и ЦБ, куда направляю жалобу на эти компании. За подключении связи Мегафон уведомляет, что надо заплатить в прошлом месяце 500 руб за 2 дня, в этом 200 руб за 2... ",1
247,362,"Вторые сутки нет интернета. Номер обращения 1-718031307786, из инфы только перенос срока. Замечательная работа. А если учесть, что завтра воскресенье, инета у меня не будет до понедельника. Нормально, чего там, услуги не оказываются, а вот деньга за них берётся, как будто пользуюсь, не вынимая...",1
248,701,"Вчера 29 вечером женщина под именем Маша хотела купить у нас собаку, и написала что перевела нам деньги!!! Прислала поддельный сайт авито с фальшивой оплатой, написала прямо в сообщения авито! Что деньги я получу ею переведённые когда она узнаёт номер карты моей!!!Весело да )), Типо деньги сейчас сайт авито блокирует, а так она может напрямую перевести. Мне же не 10... ",1
252,405,"Вчера на первом убила все удовольствие от мужского финала по гимнастике, надеялась хоть сегодня её не будет в трансляции по матч ТВ, но и здесь она! Не уважает ни спортсменок - все время проскальзывают типа безобидные комментарии, ни коллегу - постоянно затыкает и перебивает её, а сама бубнит без конца! Невозможно слушать",1
254,423,"Вы ГОВНО!!!! Смотрите сами свой матч премьер!!! Только в эфире пищдеть можете, супер эксперты!!!! Губерниев, рожа улыбчатая, иди в биатлон!",1
257,1984,"Вы очень хорошо обсуждаете проблемы с Трампом в Америке, замечательные пассы насчёт упадка США и Европы. тогда объясните хоть раз - почему там такие страсти-мордасти, евро и доллар в России укрепляются, а наш рубль падает...",1
260,1805,"Вы серьезно? Гагарина лучшая ! Эта косноязычная, безграмотная, слабая певичка рекламного ролика ….. ужас",1
270,183,"Вызвали такси с указанием адреса от и до ,когда машина уже почти подъехала ,мы позвонили водителю , который спросил куда мы едем, назвали адрес, он сказал - я туда не поеду. Отлично , прощайте. Вот вам и яндекс-недотакси. Ужас и т. д., ничего положительного",1
278,667,"Выставил объявление и после проверки выкидывает из аккаунта и по подозрению в автоматической регистрации и спаме, проходу проверку по лицу и мне говорят, что у меня уже есть зарегистрированный профиль, обращение в поддержку как и у других, были получены шаблонные ответы. Думаю, странно, ранее проверок не проходил, ничего не делал, попросил друга тоже попробовать и о чудо у него тоже... ",1
281,253,"Вышла за пять минут до приезда такси, стою жду на улице пока он завершит предыдущий заказ. И тут смотрю а у меня уже пошёл таймер бесплатного ожидания 🤣 а он ещё в пути. А в целом всё хорошо. Спасибо!",1
286,1887,"Где песни нашей многонациональной родины? Хочу понимать о чем поют маленькие дети! В какой стране мира, проводят конкурсы ""голос дети"" где дети исполняют песни, наши русские, татарские, бурятские и так далее?
Мы что меняем русский язык на английский в Росси или у нас нет песен для детей? Не понимаю, почему на первом канале нашей страны дети исполняют песни на иностранных языках?... ",1
289,464,"Генич! Прекрати лизать одно грязное место Зениту, или ты боишься, что Газпром тебя вышвырнет с Матч-тв. И поучись у своих коллег, как надо комментировать футбольные матчи, а не болтать чёрт знает о чём во время игры.",1
292,1949,"Голос был успешным в первые 3 сезона. Он пользовался успехом среди зрителей и участников и был более интересным, чем украинский «Голос». Проблемы начались в 4 сезоне с приходом продюсера украинского проекта «Голос» - Константин Меладзе и его брат Валерий Меладзе.Совпадение? Кто-то скажет, что это другая страна, другой проект, но только люди из России принимают участия в российский проект, а украинский проект... ",1
294,1803,"Голос когда -то с огромным удовольствием смотрели всей семьей, состав жюри: Пелагея-умничка, красавица, ИСКРЕННЯЯ, Билан, Агутин, Фадеев, Градский и даже Лепс -нечего сказать-МОЛОДЦЫ!
Сегодняшний состав: Гагарина-ужас! Настолько не искренний человек, выдавливает из себя фальшивые эмоции...неприятно смотреть.... Как же она надоела. Неужели, кроме нее некого больше пригласить?
От Басты тоже не в восторге, в общем в настоящее время абсолютно пропало... ",1
295,1890,"Голос стал неинтересным. Чурикова-это фабрика звезд, не не ее это перпдача. Жюри в лице Полины Гагариной-это что за этадон высушенной женщины, смотришь на нее и хочется ее покормить. А мнения члнв жюри-все отлично, все хорошо, ну не так это.",1
299,516,"Губерниев задолбал, некем заменить ? Трифонов, Легков классно комментируют, Губа оболванивает спорт, оставьте ему греблю, её так много в эфире....",1
306,1998,"Да не то что плохо, а прям совсем хреново! А вот у нас все так замечательно, ну прям слов нет. Стоит Килинкаров, депутат нескольких созывов, частый гость на передаче, Олейник бывает, вот что же они не наводили порядок в Украине, в Крыму? Чем они занимались? А ведущим не приходило в голову, что людям хочется больше знать о своей стране... ",1
307,1209,"Да ну за многое можно поругать фирму. Для меня вот например самым нервным моментом было то, что вот невозможно оперативно выяснить где находится твоя мебель и как скоро она приедет. У меня была в договоре кровать и две тумбы и почему то еще одним договором оформили диван. Мне вообще здорово потому что в командировку ехать. А спланировать совершенно невозможно... ",1
