,text,label
17,"Ребята, это жулики. Сейчас ""работают"" с сайта http://msk.service-rem-pk.ru/. Но наверняка скоро перепрыгнут на другой. Будьте готовы к тому, что если вы откажетесь платить за их мошеннические действия, вам будет звонить некий магомед (тел. +79899127397), замогильным голосом угрожать отобрать автомобиль и вообще вас ждёт много весёлого, если согласитесь с ними сотрудничать.",1
18,"МОШЕННИКИ НЕ ОТДАВАЙТЕ ИМ СВОИ КОМПЬЮТЕРЫ   ООО ""РЕГАТА"" (ИНН 9731064790) осуществляет деятельность более 1 года. Адрес (место нахождения) юридического лица: 121609, город Москва, шоссе Рублёвское, д. 36 корп. 2, э/пом/к/оф 1/I/16/28. Организации присвоен ОГРН 1207700183855.Согласно основному ОКВЭД деятельность осуществляется в области «Деятельность рекламных агентств».ремкомп ремонт компьютеров",0
19,"Не покупайте ТВ на http://tv.msk.ru. Останетесь без денег.Сделала 100 % предоплату, нет не денег, не ТВ.Кормят завтраками.Обходите стороной этот ""магазин""............................. .........................................",1
20,"Уважаемые руководители ГУП Мосгортранс!Очень прошу вас навести порядок с движением авт.№772 ""Выхино-""-""2-ой Красковский проезд"".Уже две среды подряд 18 и 25 января на остановку ""Наташинская церковь"" в 9-44 утра по расписанию, автобус не приходит, а следующий в 11-06.По этой причине я (инвалид 3гр.)не могу попасть в микрорайон ""Кожухово""в бассейн ""Альботрос"" на сеанс 10-15 утра...Другим транспортом от моего дома в бассейн не добраться Прошу сообщить мне почему перестал ходить в это время авт.772 ? Может ему изменили расписание движения, но не заменили доску с расписанием????РS Извините, но как можно оценить вашу работу не получив от        вас результата по моему обращению?",0
21,"Более безобразного решения о мгновенном закрытии передачи показаний приборов на gu-is и обязательном переходе на ""госуслуги"" придумать было нельзя. Неужели нельзя было сохранить на 2-3 месяца паралельную работу двух сервисов. Или опять все для ""удобства людей""? В начале февраля передать данные на ""Госуслугах"" не получилось из-за не отлаженной работы сервиса, теперь невозможно передать показания т.к. нет показаний за предыдущий месяц.Класс.",1
22,"Платя за отзывы на сайте фриланс, заказывая нарисованные картинки с якобы фото их продукцией, приплачивая за лестные отзывы покупателей на своем петушином сайте, эти мошенницы вводят покупателей в заблуждение. особенно, если учесть, что в фабрике брака Требити оформлен только один человек - бывший ""дежурный"" менеджер в ГК Пенопол и, по совместительству, дочка этой уголовницы - Гомоюнова Юлия Андреевна.",1
23,"Люди, никогда ничего не заказывайте в интернет-магазине ""Меломан"". Я заказала подарок ребенку, они привезли его только через неделю и еще пытались взять деньги с родителей девочки, при том что я все оплатила картой... Капец, сюрприз получился на день рождения (((((((( При этом все, что они мне сказали ""ну да, неприятно получилось, больше такого не допустим"".. Конечно, нет, никогда в жизни у них ничего не куплю и вам не советую, если не хотите выглядеть идиотами в глазах своих друзей..",1
24,"Мошенники. Набрали заказы на отправку из Питера автопокрышек.Выставили счета от фирмы ООО""Транзит"" Москва с обязательной оплатой в теч.3х дней и пропали: телефон и сайт = 0. Заведено уг.дело. Заявления принимают в МВД Москвы ул.Усачева, 62.",0
25,"Данное учебное заведение в ужасном состоянии, не говоря уже про младший(второй) корпус, где учатся вместе с детским садиком в одном помещении, но при том дерут 4000 грн в год(к этому и будет все сводиться)- белые стены в раздевалке(они останутся на вашей одежде и в сердце навсегда), старые и дряхлые аудитории и мебель в них - до сих пор нет нормального расписания уроков, при том, что они ""работали"" все лето",1
26,"Менеджеры у них грамотные работают, умеют даже дер*мо преподнести так что примешь за золото!Вот и меня убедили что бочка изготовленная столярным методом, по современным технологиям будет лучше чем ""устаревшие"" бондарные бочки!Про то что она клеем промазана они как то умолчали технично, это я уже потом сам увидел. По факту бочка полных шлак, клей с деревом да еще и влажным вообще не дружит.",1
27,"Компания ООО ""Консалтинговая Группа Базис"" произвела на меня крайне негативное впечатление! Сложилось мнение, что просто разводят на деньги. Завлекают низкой ценой и быстрой работой. От услуг отказался.",0
28,"Спасибо вам огромное, за то, что вы теперь не показываете биллиард с потолка!! Сколько я об этом писал! И наконец свершилось!",0
29,"Петров Евгений аля Сувениров ты сам себе отзывы уже писать начал?? В который раз поражаюсь реалиям современного бизнеса)Вместо того чтобы честно работать и получать положительные фидбеки юные ""бизнесмены"" пишут положительные отзывы сами о себе. Смешно и грустно одновременно",1
30,"Дорогая Jun, Вы для меня, судя по Вашим комментариям, хороший и порядочный человек. Мое обращение (комментарий Михаила от 07.10.2019г. ""Голос уже не тот"") было к господину стоящему на коленях перед ""превосходством"" англоязычной культуры, а к Вашим комментариям я отношусь с большим уважением и не обижаюсь на то, что Вы меня сравнили с наставниками. Всего Вам доброго.",1
31,"Я просто поражён!!! 21 век,а матч тв ведёт трансляцию он лайн. Голос диктора как из ""космоса"". Матч МЮ и Барселоны. Ужасс⚠️",1
32,"Занимаемся возвратом средств с брокерских организаций. На Superbinary поступает много обращений в связи с:- ""слитием"" счетов- блокировкой счетов- отклонением заявок на вывод и т. д.Если были эти, либо же ещё какие проблемы с организацией, обращайтесь perunov.fx92 @ gmail .comКонсультации абсолютно бесплатно.",0
33,"заказываю с алиэкспресса, в способе доставки указываю почта россии.
каким-то образом вонючий монополист забирает себе доставку моих товаров, после чего мне перезванивает курьер, который говорит что не может мне доставить и просит договориться с автоответчиком чтобы я мог забрать свой товар у них на складе.
Вонючий СДЭК отстаньте от моих товаров животные, зарабатывайте в другом месте. Я всеровно добьюсь того что Вы... ",0
34,"Написал в поддержку по поводу претензии которую составил оператор несколько дней ранее, после этого меня просто заблокировали.
Войти и спросить почему такое отношение невозможно.
Вот такой честный сервис)",1
35,"Ввели платный возврат..... Очень супер. Тоесть продавец может спокойно выкладывать размерные сетки от балды, а мы будем платить за возвраты... Пытаются нажиться прям из воздуха. Такое чувство, что машина привозящая товары назад на склад не возвращается, поэтому обратную перевозку осуществляет другая компания??? Заказываешь три вещи одного размера по одинаковым обьемам груди и талии, одна по размеру, две малы. Простите за негатив. ",1
36,Услуга посуточно бронирования жилья очень попахивает политическими моментами! Также красиво втюхивают якобы заботиться о клиент ах и хозяева квартиры! На самом деле просто обдираловка которая удорожать стоимость квартиры а впоследствии увеличивает налог самозанятого! Плюс они намекают что они имеют какой-то алгоритм который им помогает определить почему поступил отказ от бронирование с той или другой стороны! Это очень сильно воняет тем... ,1
37,"СДЭК доставляет посылку, по прибытии ее в город (Москва) звонит менеджер и согласовывает день доставки. Пока все идет замечательно. Но вот на этом этапе начинаются ""технические сбои"", как потом будут твердить в колл-центре.

Технические сбои не позволят передать посылку в курьерскую службу, они же не позволят связаться с получателем, они же виноваты в отсутствии свободных курьеров, из-за них невозможно заказать... ",1
38,"Добавьте в этот список сайт интернет-магазина ООО ""Техника"" (Крокус Сити Молл, Международная улица, 8, Красногорск, Московская обл., тел.8 (499) 653-64-55)http://teck14.ru/http://texhcnika14.ru/По всем параметрам ОЧЕНЬ ПОХОЖЕ на мошенников: * нереально низкие цены (на часть товаров, якобы  - СКИДКА), * оплата вперед и на карту, яндекс-деньги,* в самом торговом центре этой организации нет...Берегите свои сбережения! Проверяйте тщательнее.",1
39,"Люди не имейте дело с ООО""ИНТОРГ"". Одни мошейники, товар в тридорога продают и еще торопят с выкупом, якобы скорей активизировать горантию изделия. Только выкупите и пропадают, вот этот номер 79635067498. Посылайте по этому номеру их подальше.",1
40,"ЭТО мошенники НЕТ ни ДЕНЕГ ни ТОВАРА, после отправки денег, начинаются отписки, а потом связь с ""менеджером"" и ""оператором"" прерывается, все переадресуется на какую то транспортную компанию, (несуществующую)Господа это МОШЕННИКИ",1
41,"Приобрел 10.10.2014 Nokia Lumia 735 в салоне-магазине МТС возле метро ""Маяковская"", на 1-й Тверской-Ямской, 8. - то есть не в ""левом"" магазине, - вроде куда уж надежнее, ""клюнул"" на акцию ""Smart на 6 месяцев в подарок""...Потом вылезли ""чудеса"" - при отключении он сам собой ""оживал"" и включался, - восстановление до заводских настроек ни к чему не привело, - никаких признаков жизни передней камеры, и такие же самопроизвольные включения...  Так что теперь ждем результатов экспертизы и возврата денег за этот ""дивный Виндоузфон""",1
42,"Удасная компания,никогда с ними не связывайтесь. Навязывают оборудования за бешенные деньги. Которое потом не с каким провайдером не работает. Роутеры прошиты только под сам ростелеком.",0
43,"Будьте внимательны и осторожны. Данный портал способен запросто и без всяких предупреждений вас кинуть.Мне лично было достаточно того, что я обратился в службу поддержки с вопросом о поступающих заявках от клиентовПосле краткого диалога EquipNet.ru заблокировал мне доступ к личному кабинету. На сколько я понял формулировка: ""Не актуальные профили удаляем."":-) Так что имейте ввиду - сидите вы на EquipNet.ru бесплатно или заносите туда денег - кинуть могут в любой момент. Легко и просто",0
44,"В связи с НЕОДНОКРАТНЫМИ историями о мошенничестве Ранта с его подрядчиками . В полиции уже Центрального района проверяют, могли ли застройщик ""Рант"" Шкрум В. и подрядчик ООО ""Авангард"" Засепский Б. заранее договориться и таким образом организовать преступную схему реализации жилья.",0
45,"04.09 посылка отправлена из г.Феодосия в СПб. 11.09 должна быть в СПб,сегодня 17.09 посылка не пришла. Путешествие посылки умиляет,уже 2 была в Краснодаре,по-ходу решила весь юг России посетить. Контора скатилась в дно...расчитывать на точную дату прибытия не стоит. Наверное почта России здесь выигрывает.",1
46,"Просто не объяснить словами про продажу билетов на поезд деда мороза. Второй год пытаюсь купить внучке билет и это какой-то кошмар. Сегодня взяла билет ура ,но не тут было ( про то как проходит оформление отдельная история) на всё ушло минут 5 и о чудо никакого забронированного билета не оказалась . Как так я же его взяла,на сайте даже... ",1
47,"Поздно отзывы прочитал, были негативные, теперь пожинаю плоды. Я в числе тех, кто заплатил и не получил кода для активации игры. Закинул Купикоду за симсов и теперь утираю сопли. ""Благодаря"" таким аферистам, нормальные люди в инете не могут заработать, а пользователи получить услуги за свои кровные.",1
48,"Вы ГОВНО!!!! Смотрите сами свой матч премьер!!! Только в эфире пищдеть можете, супер эксперты!!!! Губерниев, рожа улыбчатая, иди в биатлон!",1
49,"Ета передача в мире журналистики, как порнуха в мире кино. Наша Оленька там главная принцесса) Чем больше грязи и пошлее тем лучше, а она ой ето любит.",1
50,"Климакс у меня длился уже продолжительное время на момент знакомства с климафитом 911, поэтому я ориентировавалась в симптомах.Кто б знал, что после такого лечения 'облегчения' у меня долбанет ишемическая болезнь сердца. Это такой подарок, или ускорение на выход с этого света. Мне действительно уже страшно принимать какие-то лекарства, потому что даже такое с натуральным составом меня уничтожило.",1
51,"Как отдых в загнивающей Европе ребята? "" Патриоты"" Вы наши!",1
52,"Профессионалы с большой буквы!Хотим поблагодарить компанию  «ОГК Отопительные системы», а так же Грекова Александра Эдуардовича за быструю и качественную установку отопительного оборудования  для дачного дома для нашей семьи! Живем, не нарадуемся!! Тепло и уютно стало в нашем доме, можно теперь жить зимой!",0
53,"Даже не знаю как вы держитесь на плаву? Отвратительный сервис, рабочие словно 1й день на работе. Хорошо, что сразу заметили и отказались от услуг. Не советую! Кое как смогли вернуть предоплату!",0
54,"Одна сплошная реклама, в прямом эфире смотреть не возможно. Раньше показывали много интересного (пример топ матчи Англии) да что говорить, топ матчи России не показывают. UFC вообще забыли что такое, АСА тоже перестали показывать. Смотреть нечего. ИТОГ-полное Г!",0
55,"Доброе время суток!Я являлась клиентом ""Юрист-Лидера"" в 2014 году.Должны были написать исковое заявление и представлять мои интересы в суде.Заявление написанное юристами пришлось переделывать - услуга стоила 10 000 рублей.За представление в суде была объявлена сумма 8 000 р. за 1 выход(оплачено), выход в суд не состоялся - кинули!!! Извинения не принесли.В итоге иск в суд на них - дело выиграно, присуждена компенсация - не выплачивают!!!.Удачи всем. Надеюсь Вы не пострадаете от этих ""людей"".",1
56,"Я всегда считал голос классным проектом, но все-таки большее зависит не от тех кто поет, а от наставников. По мне так лучшие наставники это: Билан, Пелагея, Гагарина, Градский не плох, Баста, Агутин, Фадеев, (не важно, если кого-то забыл). Проект стал опускаться в яму еще с Лорак, которая ни черта не умеет слушать, это еще цветочки. Но вот Лобода с Кридом... ",0
57,"Здравствуйте! В последнее время совершенно невозможно уехать в вечернее время  с 19 до 20ч от остановки ""Полежаевская"" до ""Шеногина"" автобусом.Расписание не соблюдается, нет автобусов  6 и 294 маршрутов в течение 45-50 минут.Только маршрутные такси  ходят.Люди с детьми мерзнут на остановке.Очень просим разобраться в данном вопросе.Заранее благодарны.",0
58,"Не обращайтесь туда!!!!! Берут предоплату и скрываются, не берут трубки!!! ""Юрист"" Завьялова!!!! Господа, если не хотите лишиться денег и проиграть в суде -обходите стороной эту """" юридическую"""" помощь!!!",1
59,"Интересно получается здесь пишут как у меня было и с паспортом, врачами, оплатами. В налоги  даже заходить боюсь, и деньги потеряешь и пени насчитают.А на ""https://irecommend.ru/"" получается все отлично работает, и подробные инструкции, правда теоретические и не соответствуют.А там, директор ""ГосУслуг"" пишет отзывы и его секретарь ?",1
60,"ОГРН 5177746156946 Генеральный директор ООО ""Клевер"" Гермашев Виктор Сергеевич 14.09.1983 года рождения ИНН 381299697330, мошенник, решил закрыть ООО ""Клевер"", и кинуть всех обманутых покупателей. Всем обманутым покупателям срочно требуется писать заявление по ст. 159 УК РФ, иначе деньги свои не возвратите. есть вопросы? +79263245162",0
61,"Почитал отзывы, как будто медом намазано, и написано одним и тем же ""писателем"" про себя любимых, а зайдешь к ним на сайт, так вообще залюбуешься как все идеально. Люди очнитесь, да они делают мебель по качеству как дешевле некуда, зато денег просят как за элитную. Главное отдайте деньги, а потом попробуйте дозвонитесь туда, а если вам повезет и услышите в ответ, что им нужно уточнить где ваша кухня и почему уже все сроки прошли, а ее нет.",1
62,"Зашла в купе и тут такой сюрприз) неприятно. Могли бы повнимательней убираться! А к пассажирам, которые это оставили, ну позор !",1
63,"Когда только оформлялась по договору оказания услуг, мне такая форма трудоустройства была не очень понятна, так я раньше не работала, было даже как-то подозрительно. Но со Сбермаркетом так все сотрудничают, ну ни у кого проблем не возникало, есть такие кто на сборке по несколько лет, и не жалуются. Так что успокоилась, к графику привыкла быстро, с девчонками сдружилась. Не со... ",0
64,"Почивав отзывы людей! Я понял, что компания мегафон решила зарабатывать ОБМАНОМ! Ну что ж это ваш выбор... Дай вам бог ""побольше"" новых абонентов. Я, моя семья, мои друзья свой выбор сделали!!! Всем буду советовать только не мегафон",1
65,"Кидалово iphoneshop.biz сайт кидает всех на круглые суммы не вздумайте заказыватьНи телефон ни обратная связь не отвечают после оплаты внимательно читайте они с ошибками пишут:,,будите получать смс''осторожно это кидок",0
66,"2 декабря с.г. по номеру 88001000800 подал заявку 2021455081 на подключение домашнего интернета, обещали связаться, но никто не позвонил. 3 декабря пришла смс, что мне звонили с рекламными целями с телефона мошенников, проверил номер, действительно вроде ростелекомовский, но вызовов не было и он блокируется МТС, как якобы рекламно-мошенический.(улыбнуло, что то в этом есть). Также пришло смс, что заявка снята, т.к.... ",0
67,"Операторы деревянные (это если повезло дозвониться) , техники ленивые и необразованные

(работу свою делать не хотят) , почти в каждом салоне связи сотрудники грубые и некомпетентные

(на любой вопрос непонимание элементарных вещей и раздражительность) ! И это так по всей России.

Зато в любой рекламе слышим ""мы самые лучшие!"".",1
68,"Рынок или магазин предоставляет только лишь торговые площади для продавца, для покупателя естественно создает благоприятные условия, подъезды, парковки и тому подобное. Придя за колбасой или джинсами с нас не требуют показать документы удостоверяющие личность))) администрация существует для того чтобы решать конфликтные ситуации между продавцом и покупателем, она не сует свой нос в сделки купли продажи. Данные чудилы на букву м... ",1
69,Я пользуюсь мегафоном и мне нравится связь. Но уберите поскорее этого хера с экрана. Невозможно слушать. Сразу переключаю .,0
70,"Объяснять наверное не нужно, во что превратилась эта площадка с марта месяца этого года. Единственное что авито научилась хорошо делать))) это грести лавэ за тарифы в замен на блокировки без объяснения причин. Благо люди начали просыпаться и потихоньку сворачиваться с данного карнавала))) Смысл находится здесь))) если ничего нельзя, одни запреты, блочат как покупателей так и продавцов. Пожелать данным циркачам можно только провала!",1
71,"Связалась с этой ""фирмой"" по своей глупости, срочно нужно было починить телефон, не заряжался, думала сломалось гнездо, позвонила, телефон забрал курьер,на следующий день позвонил парень и сказала что ремонт моего телефона стоит 6800р, вроде как сгорела субплата,которая связана с гнездом, мы отказались от такого дорогого ремонта и этот парень начал скидывать цену, скинул до 4000р. Ооказалось,ничего у меня там не сгорело,это всего лишь не работал провод,( а провод на секунду стоит примерно 300 р вместо ""ремонта"" за 6800) делайте вывод из моей истории, и не попадайтесь на таких мошенников.",1
